run_id,pod_name,submitted_ts,scheduled_ts,running_ts,job_start_ts
860e183c-e163-4035-a1a9-33c2b77767ef,dagster-run-860e183c-e163-4035-a1a9-33c2b77767ef-rjwf6,2026-04-30T13:40:37+00:00,2026-04-30T13:40:37+00:00,2026-04-30T13:40:37+00:00,2026-04-30T13:42:01+00:00
8814bbe5-7078-42a0-9c97-d8519e0c655e,dagster-run-8814bbe5-7078-42a0-9c97-d8519e0c655e-r5mmz,2026-04-30T14:11:14+00:00,2026-04-30T14:11:14+00:00,2026-04-30T14:11:14+00:00,2026-04-30T14:12:49+00:00
8936bf2d-f7c6-4c3c-936f-196b65aa779f,dagster-run-8936bf2d-f7c6-4c3c-936f-196b65aa779f-6c2xw,2026-04-30T13:55:42+00:00,2026-04-30T13:55:42+00:00,2026-04-30T13:55:42+00:00,2026-04-30T13:57:11+00:00
8a1221fc-b13b-4a26-bcc8-5811e66716e1,dagster-run-8a1221fc-b13b-4a26-bcc8-5811e66716e1-5dwtc,2026-04-30T14:19:13+00:00,2026-04-30T14:19:13+00:00,2026-04-30T14:19:13+00:00,2026-04-30T14:21:11+00:00
8ab09519-303f-4894-aede-c7b0dbcc6d12,dagster-run-8ab09519-303f-4894-aede-c7b0dbcc6d12-lj8h2,2026-04-30T13:48:05+00:00,2026-04-30T13:48:05+00:00,2026-04-30T13:48:05+00:00,2026-04-30T13:49:44+00:00
8c69c195-fe37-4ad1-b441-cb674b07319d,dagster-run-8c69c195-fe37-4ad1-b441-cb674b07319d-v44gf,2026-04-30T14:23:00+00:00,2026-04-30T14:23:00+00:00,2026-04-30T14:23:00+00:00,2026-04-30T14:24:45+00:00
8dca265d-1a9e-4dcc-8c48-c78bd2db1549,dagster-run-8dca265d-1a9e-4dcc-8c48-c78bd2db1549-ht9t2,2026-04-30T13:44:23+00:00,2026-04-30T13:44:23+00:00,2026-04-30T13:44:23+00:00,2026-04-30T13:45:50+00:00
9382bae3-6dc0-4d4d-b939-bc8c8451db5b,dagster-run-9382bae3-6dc0-4d4d-b939-bc8c8451db5b-q4mff,2026-04-30T14:27:17+00:00,2026-04-30T14:27:17+00:00,2026-04-30T14:27:17+00:00,2026-04-30T14:29:26+00:00
97d86d6b-2c96-4ee5-a9ad-ae03a51c3c19,dagster-run-97d86d6b-2c96-4ee5-a9ad-ae03a51c3c19-kkj9h,2026-04-30T14:15:02+00:00,2026-04-30T14:15:02+00:00,2026-04-30T14:15:02+00:00,2026-04-30T14:16:42+00:00
a326c031-8bd1-4b9b-a87d-1d93c1349dbe,dagster-run-a326c031-8bd1-4b9b-a87d-1d93c1349dbe-4n58m,2026-04-30T14:15:13+00:00,2026-04-30T14:15:13+00:00,2026-04-30T14:15:13+00:00,2026-04-30T14:16:53+00:00
b172c000-fd7e-4855-bac0-1eda0dbc0b4f,dagster-run-b172c000-fd7e-4855-bac0-1eda0dbc0b4f-mczhh,2026-04-30T14:31:33+00:00,2026-04-30T14:31:33+00:00,2026-04-30T14:31:34+00:00,2026-04-30T14:33:29+00:00
b2024e3f-2fa7-4ac0-bab7-70561c2b8cb8,dagster-run-b2024e3f-2fa7-4ac0-bab7-70561c2b8cb8-mdqtk,2026-04-30T14:07:21+00:00,2026-04-30T14:07:21+00:00,2026-04-30T14:07:21+00:00,2026-04-30T14:08:53+00:00
